2018-01-17 09:08:33,288 [Worker-596] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RoomBookFinalWar
2018-01-17 09:08:33,288 [Worker-596] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RoomBookFinalWar
2018-01-17 09:08:33,291 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:53,613 [Worker-596] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:08:54,671 [Worker-601] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-log4j12/1.5.6/slf4j-log4j12-1.5.6.pom
2018-01-17 09:08:55,724 [Worker-601] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1.1/json-simple-1.1.1.pom
2018-01-17 09:08:56,809 [Worker-601] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-annotations/3.5.6-Final/hibernate-annotations-3.5.6-Final.pom
2018-01-17 09:08:57,829 [Worker-601] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/4.0.0/javax.servlet-api-4.0.0.pom
2018-01-17 09:08:57,973 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:57,982 [Worker-596] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-17 09:08:57,984 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:58,004 [Worker-596] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JAVA\HibernateDemo\RoomBookFinalWar\src\test\resources
2018-01-17 09:08:58,004 [Worker-596] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RoomBookFinalWar
2018-01-17 09:08:58,004 [Worker-596] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RoomBookFinalWar
2018-01-17 09:08:58,009 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:59,382 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:59,397 [Worker-596] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-17 09:08:59,398 [Worker-596] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:08:59,409 [Worker-596] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JAVA\HibernateDemo\RoomBookFinalWar\src\test\resources
2018-01-17 09:09:00,984 [Worker-595] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-01-17 09:09:02,299 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-deploy-plugin/2.7/maven-deploy-plugin-2.7.jar
2018-01-17 09:09:03,312 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.jar
2018-01-17 09:09:03,323 [Worker-595] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:09:04,359 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-log4j12/1.5.6/slf4j-log4j12-1.5.6.pom
2018-01-17 09:09:05,385 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1.1/json-simple-1.1.1.pom
2018-01-17 09:09:06,394 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-annotations/3.5.6-Final/hibernate-annotations-3.5.6-Final.pom
2018-01-17 09:09:07,416 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/4.0.0/javax.servlet-api-4.0.0.pom
2018-01-17 09:09:08,528 [Worker-595] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.jar
2018-01-17 09:09:08,658 [Worker-595] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/src
2018-01-17 09:09:08,659 [Worker-595] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /RoomBookFinalWar/src overlaps with sources folder /RoomBookFinalWar/src
2018-01-17 09:09:08,661 [Worker-595] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/test
2018-01-17 09:09:09,493 [Worker-595] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:09:09,648 [Worker-595] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for RoomBookFinalWar
2018-01-17 09:09:09,661 [Worker-595] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 8 sec
2018-01-17 09:09:12,145 [Worker-613] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:09:12,153 [Worker-613] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2018-01-17 09:09:12,192 [Worker-613] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:09:12,197 [Worker-613] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JAVA\HibernateDemo\RoomBookFinalWar\src\test\resources
2018-01-17 09:09:55,417 [Worker-608] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
