127.0.0.1 - - [17/Nov/2017:09:17:43 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /CSSAssignment1/florist.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /CSSAssignment1/f2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /CSSAssignment1/f4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /CSSAssignment1/f3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /CSSAssignment1/f1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2017:09:17:48 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:15:33 +0530] "GET /CSSAssignment1/Question2.html HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:15:33 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:16:09 +0530] "GET /CSSAssignment1/Question2.html HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:16:09 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:17:14 +0530] "GET /CSSAssignment1/Question2.html HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [17/Nov/2017:17:17:17 +0530] "GET /CSSAssignment1/Question2.html HTTP/1.1" 304 -
